Pool,scenario,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6
MC2020_HeronWistari_1,scenario1,0.27,0.27,0.30,0.30,0.37,0.10,NA
MC2020_HeronWistari_2,scenario1,0.24,0.23,0.17,0.03,0.13,0.07,NA
MC2020_HeronWistari_3,scenario1,0.07,0.07,0.03,0.00,0.03,0.00,NA
MC2020_HeronWistari_4,scenario1,14.88,14.73,0.02,0.02,0.01,12.41,NA
MC2020_HeronWistari_5,scenario1,8.59,8.50,0.02,0.02,0.01,10.62,NA
MC2020_OTI_2,scenario1,NA,NA,0.49,0.27,0.36,0.11,0.09
MC2020_OTI_4,scenario1,0.25,0.25,0.16,0.10,0.29,0.06,0.07
MC2020_OTI_Octagon,scenario1,39.47,39.08,4.33,0.01,0.00,0.01,NA
MC2021_LizardIs_10,scenario1,NA,NA,0.31,0.31,0.15,0.13,NA
MC2021_LizardIs_11,scenario1,NA,NA,0.28,0.24,0.29,NA,NA
MC2021_LizardIs_7,scenario1,NA,NA,0.28,0.30,0.16,0.13,NA
MC2021_LizardIs_8,scenario1,NA,NA,0.26,0.28,0.23,NA,NA
MC2021_LizardIs_9,scenario1,NA,NA,0.31,0.21,0.12,NA,NA
MC2021_LizardIs_SpawnCatcher_1,scenario1,0.06,0.06,0.07,0.08,0.09,NA,NA
MC2021_LizardIs_SpawnCatcher_2,scenario1,0.08,0.07,0.08,0.05,NA,NA,NA
MC2022_LizardIs_4,scenario1,NA,NA,,0.12,0.09,NA,NA
MC2022_LizardIs_6,scenario1,1.12,1.11,0.82,0.68,0.11,NA,NA
MC2022_LizardIs_7,scenario1,NA,NA,0.77,1.12,0.46,NA,NA
MC2022_LizardIs_8,scenario1,NA,NA,0.74,0.89,0.54,NA,NA
MC2022_LizardIs_SP,scenario1,NA,NA,0.54,0.19,NA,NA,NA
MC2020_HeronWistari_1,scenario2,0.40,0.27,0.30,0.30,0.37,0.10,NA
MC2020_HeronWistari_2,scenario2,0.35,0.23,0.17,0.03,0.13,0.07,NA
MC2020_HeronWistari_3,scenario2,0.10,0.07,0.03,0.00,0.03,0.00,NA
MC2020_HeronWistari_4,scenario2,22.32,14.73,0.02,0.02,0.01,12.41,NA
MC2020_HeronWistari_5,scenario2,12.88,8.50,0.02,0.02,0.01,10.62,NA
MC2020_OTI_2,scenario2,NA,NA,0.49,0.27,0.36,0.11,0.09
MC2020_OTI_4,scenario2,0.37,0.25,0.16,0.10,0.29,0.06,0.07
MC2020_OTI_Octagon,scenario2,59.21,39.08,4.33,0.01,0.00,0.01,NA
MC2021_LizardIs_10,scenario2,NA,NA,0.31,0.31,0.15,0.13,NA
MC2021_LizardIs_11,scenario2,NA,NA,0.28,0.24,0.29,NA,NA
MC2021_LizardIs_7,scenario2,NA,NA,0.28,0.30,0.16,0.13,NA
MC2021_LizardIs_8,scenario2,NA,NA,0.26,0.28,0.23,NA,NA
MC2021_LizardIs_9,scenario2,NA,NA,0.31,0.21,0.12,NA,NA
MC2021_LizardIs_SpawnCatcher_1,scenario2,0.08,0.06,0.07,0.08,0.09,NA,NA
MC2021_LizardIs_SpawnCatcher_2,scenario2,0.11,0.07,0.08,0.05,NA,NA,NA
MC2022_LizardIs_4,scenario2,NA,NA,NA,0.12,0.09,NA,NA
MC2022_LizardIs_6,scenario2,1.68,1.11,0.82,0.68,0.11,NA,NA
MC2022_LizardIs_7,scenario2,NA,NA,0.77,1.12,0.46,NA,NA
MC2022_LizardIs_8,scenario2,NA,NA,0.74,0.89,0.54,NA,NA
MC2022_LizardIs_SP,scenario2,NA,NA,0.54,0.19,NA,NA,NA
MC2020_HeronWistari_1,scenario3,0.83,0.27,0.30,0.30,0.37,0.10,NA
MC2020_HeronWistari_2,scenario3,0.73,0.23,0.17,0.03,0.13,0.07,NA
MC2020_HeronWistari_3,scenario3,0.21,0.07,0.03,0.00,0.03,0.00,NA
MC2020_HeronWistari_4,scenario3,46.04,14.73,0.02,0.02,0.01,12.41,NA
MC2020_HeronWistari_5,scenario3,26.56,8.50,0.02,0.02,0.01,10.62,NA
MC2020_OTI_2,scenario3,NA,NA,0.49,0.27,0.36,0.11,0.09
MC2020_OTI_4,scenario3,0.77,0.25,0.16,0.10,0.29,0.06,0.07
MC2020_OTI_Octagon,scenario3,122.11,39.08,4.33,0.01,0.00,0.01,NA
MC2021_LizardIs_10,scenario3,NA,NA,0.31,0.31,0.15,0.13,NA
MC2021_LizardIs_11,scenario3,NA,NA,0.28,0.24,0.29,NA,NA
MC2021_LizardIs_7,scenario3,NA,NA,0.28,0.30,0.16,0.13,NA
MC2021_LizardIs_8,scenario3,NA,NA,0.26,0.28,0.23,NA,NA
MC2021_LizardIs_9,scenario3,NA,NA,0.31,0.21,0.12,NA,NA
MC2021_LizardIs_SpawnCatcher_1,scenario3,0.17,0.06,0.07,0.08,0.09,NA,NA
MC2021_LizardIs_SpawnCatcher_2,scenario3,0.23,0.07,0.08,0.05,NA,NA,NA
MC2022_LizardIs_4,scenario3,NA,NA,NA,0.12,0.09,NA,NA
MC2022_LizardIs_6,scenario3,3.46,1.11,0.82,0.68,0.11,NA,NA
MC2022_LizardIs_7,scenario3,NA,NA,0.77,1.12,0.46,NA,NA
MC2022_LizardIs_8,scenario3,NA,NA,0.74,0.89,0.54,NA,NA
MC2022_LizardIs_SP,scenario3,NA,NA,0.54,0.19,NA,NA,NA
Scenario 4. Whithsunday B4C and PGAFF data,scenario4,,,,,,,